type,id,parent_id,title,author,content
post,1ac65a9e4188f69f8b17,,how risky is getting packages sent to the USA from other countries?,pandadaddy,Curious because most speed vendors are eu base or in Germany and im in america.  What's the best way to go about it?
comment,c-042759dbec1a35d9a0,1ac65a9e4188f69f8b17,,Phobos36,Edit: nevermind i just misread the post. Avoid anything from Germany/the Netherland at all cost.
comment,c-1fec40945d6cacde9c,1ac65a9e4188f69f8b17,,witch,"Use the handful of speed vendors in the US. If you order international, I would bet anything that you'll receive a love letter from US Customs and no speed. I understand the price difference makes it tempting. Don't fall for it. I would recommend finding another stimulant, stick to the domestic speed vendors, or find a way to get real Amphetamine (adderall) for cheaper than it tends to be on the markets (most real domestic pharma stuff is overpriced as fuck online, you're better off finding someone local who knows the right people if you can. some people will pay $15 for a single 30mg IR tablet, if I cared to I could get full month's script for 50 or so. Just depends, could be anyone.)"
comment,c-2e8973e894e623b695,1ac65a9e4188f69f8b17,,miner21,Ask the vendor what their success rate is? I imagine a good vendor is successful
comment,c-5f959ef17f7345daca,1ac65a9e4188f69f8b17,,natethedrake,"I have done it several times successfully, but I would not recommend it. All of my orders were in envelopes and did not ship from hot origins like Holland or Germany."
comment,c-b9e1d50a2cf94857da,c-ea1735d4d0fc8042cd,,pandadaddy,Ahh see i didnt know this.. is there a list of country's I should avoid?  And if so where can I find it?  Thanks you!
comment,c-ea1735d4d0fc8042cd,1ac65a9e4188f69f8b17,,GhostShelf,"Germany is considered a high-risk country, similar to the Netherlands and any country in Africa or South America."
post,139ab47211d264cfc22b,,Is Elysium market down or something,PyroIP,"I used to get on Elysium all the time and now no matter what link i try most of them dont even go to the login screen and then when like one of them does, it doesnt let me login, i created a new account and everything, I dont understand, is anyone else having this problem"
comment,c-dbac32abf5b681b5ca,c-e5bbc541d1993eb917,,ATNT,/post/ac2da33af48b50b9c72c
comment,c-e5bbc541d1993eb917,139ab47211d264cfc22b,,CanMakeItHappen,"I have been trying to log in for the last 5 hours :(  i hope the site is back up soon   anyone know whats going on?"
comment,c-e9240cf5dfafe9dc47,c-ee974e2960dedf58c4,,warpzoneworld1,"Can't the less popular be given a chance  When will they ever get popular  Yeah I know this will get downvoted  And people will come and call me retard just for not sharing same opinions with them Let the new markets grow dread community members are making that or it practically impossible  But are ready to endorse any market their friends make"
comment,c-ee974e2960dedf58c4,139ab47211d264cfc22b,,PursuitOfBud,"Idk tbh i just use arch or abacus to buy weed, they're the 2 most popular for now"
comment,c-1d85bec701ab85897d,c-54839b4d0cea87b55d,,nigga,"URLs are offline, he keeps putting new ones on dread and I will keep turning them off gladly."
comment,c-54839b4d0cea87b55d,139ab47211d264cfc22b,,TorDotRun,/post/ac2da33af48b50b9c72c
comment,c-69a14b5bfc2076bbf0,c-157e1e234febb22902,,Idiot420,"Yeah same. I had luck on Tuesday with one link, but was I unable to log on yesterday and today to see if it was shipped.  None of the abacus, drug hub, or archetype links are working for me"
